Publicize Answers,Anything else you'd like to add?,Do you understand that providing more data helps identify you?,What is your official title?,Which best describes your role?,What is your annual salary?,What year was this salary set?,How many paid days off do you get?,"If you get a bonus, how much is it?",Do people report to you?,"Are you a contractor, full-timer, or part-timer?",What department do you work for?,Is your company publicly traded or privately owned?,How many employees work for your company worldwide?,What city do you live in?,How many years of relevant experience do you have for this job?,Are you a remote worker?,What city is your employer based in?,What other kinds of compensation are available to you?,What is your gender?,What is the highest degree you have received?,Do you identify with any of the following?,What is your race?,From which universities did you earn a degree?,Please write a short description of what you do.,How many years have you been with you current employer?,"If you work outside your day job, how much do you make at that?"
yes,"Tech stack: RoR/React or Stimulus, Node/React",Yes,Software Craftsman,Software Engineer,,2019,,,,Full-timer,,,,"Rochester, NY",,Yes,"Holly Springs, NC",profit sharing,,,,,"RPI, RIT",Lead agile software teams; implement complex software features; interact with customers to understand requirements,4,
yes,,Yes,,Software Engineer,,2019,15,,No,Contractor,,Private - Founder still holds majority,51-200,Rochester,6-10,No,Rochester,,Male,Bachelor's,Parent (or expecting),White or European descent,RIT,,3,
yes,"Languages I use regularly: SQL, Python, Javascript",Yes,Principal Software Engineer,Software Engineer,,2019,365,$0,No,Full-timer,Engineering,Private - Other/Unknown,201-500,"Rochester, NY",20+,No,"Boston, MA",Medical insurance free for family. 401k w/o match. Free parking downtown,Male,Bachelor's,Parent (or expecting),White or European descent,Bucknell University,Add features to code,0,"$30,000"
yes,,Yes,Juinor Developer,Software Engineer,"$50,000",,20,"$1,000",No,Full-timer,Developer Team,Private - Other/Unknown,11-50,,<=2,No,,"401k 
Dental Care
Vision Care ",Male,None,,Black or African American,,,0,
yes,,Yes,Automation Engineer,Quality Assurance,"$60,000",,20,,No,Full-timer,Software Engineering,Public,"10,000+",Rochester,<=2,No,Rochester,,Male,Master's,,White or European descent,"Bucknell University, Case Western Reserve University",I write automation test scripts and small development tasks. ,1,
yes,,Yes,Computer programmer,Other,"$60,231",2019,20,,No,Full-timer,IT,Government,1001-2000,"Brighton, NY ",11-15,No,"Brighton, NY","Free access to college gym facilities

Access to college Library
Part of the CSEA Union",Male,Master's,,White or European descent,Brockport,Database Programming in Oracle PL/SQL mainly supporting Student and Academic Service divisions of the college,2,
yes,,Yes,Cloud Engineer,Operations Engineer,"$61,200",2019,365,,No,Full-timer,Engineering,Private - Investor(s) holds majority,501-1000,Henrietta,<=2,No,,,Male,Bachelor's,,White or European descent,,,1,
yes,,Yes,Software developer,Software Engineer,"$62,000",2019,25,,No,Full-timer,,Private - Founder still holds majority,2-10,Rochester,<=2,No,"Rochester, NY","Health insurance, 401K match",Male,Bachelor's,,White or European descent,,Full stack .NET web developer,1,
yes,,Yes,,Quality Assurance,"$68,000",2019,30,"$1,000",No,Full-timer,,,,Rochester,6-10,No,Rochester,,Other,Bachelor's,"""LGBTQIA (lesbian, gay, bisexual, trans, queer, intersex, asexual)""",White or European descent,,,2,
Yes,,Yes,Software engineer,Software Engineer,"$68,000",2018,365,,No,Full-timer,,,51-200,Rochester,6-10,No,Rochester,,Female,Master's,,White or European descent,,,2,
yes,Sales.,Yes,Sales Engineer,Other,"$70,000",2019,365,,No,Full-timer,Sales,Private - Founder still holds majority,11-50,Rochester,<=2,No,Rochester,Variable sales bonus,Male,Bachelor's,,White or European descent,RIT,Sales.,0,"$20,000"
yes,,Yes,Quality Assurance Engineer,Quality Assurance,"$74,000",2018,31,$0,No,Full-timer,Engineering,Private - Other/Unknown,51-200,Rochester,6-10,No,Rochester,Health Benefits,Female,Associate,,White or European descent,Finger Lakes Community College,,2,
yes,,Yes,Web Consultant,Software Engineer,"$75,000",,0,$0,No,Contractor,,Private - Other/Unknown,11-50,Rochester,,No,Rochester,,Male,Bachelor's,,,,,,
yes,,Yes,Technical Lead,Software Engineer,"$75,000",2019,,,,,,,,,<=2,,,,,,,,,,1,
Yes,,Yes,User Interface Developer,IT,"$75,000",2019,40,"$2,500",No,Full-timer,Marketing,,"5001-10,000",Rochester,6-10,No,,,Male,Master's,,White or European descent,"Brockport, University of Rochester",,1,"$15,000"
